experiment,sweep_var,sweep_val,scenario,detector,final_estimate,final_ground_truth,abs_error,detector_msg_count,gt_msg_count,trial
imu_bias,imu_bias_mss,0.0,+3,v1_apriltag,,4,,0,257,0
imu_bias,imu_bias_mss,0.0,+3,v2_time,4,4,0,128,257,0
imu_bias,imu_bias_mss,0.0,+3,v3_accel,4,4,0,117,257,0
imu_bias,imu_bias_mss,0.0,+3,v4_fusion,4,4,0,128,257,0
imu_bias,imu_bias_mss,0.0,+3,v1_apriltag,,4,,0,253,1
imu_bias,imu_bias_mss,0.0,+3,v2_time,4,4,0,127,253,1
imu_bias,imu_bias_mss,0.0,+3,v3_accel,4,4,0,117,253,1
imu_bias,imu_bias_mss,0.0,+3,v4_fusion,4,4,0,126,253,1
imu_bias,imu_bias_mss,0.0,+3,v1_apriltag,,4,,0,256,2
imu_bias,imu_bias_mss,0.0,+3,v2_time,4,4,0,127,256,2
imu_bias,imu_bias_mss,0.0,+3,v3_accel,4,4,0,127,256,2
imu_bias,imu_bias_mss,0.0,+3,v4_fusion,4,4,0,117,256,2
imu_bias,imu_bias_mss,0.05,+3,v1_apriltag,,4,,0,256,0
imu_bias,imu_bias_mss,0.05,+3,v2_time,4,4,0,128,256,0
imu_bias,imu_bias_mss,0.05,+3,v3_accel,4,4,0,128,256,0
imu_bias,imu_bias_mss,0.05,+3,v4_fusion,4,4,0,127,256,0
imu_bias,imu_bias_mss,0.05,+3,v1_apriltag,,4,,0,232,1
imu_bias,imu_bias_mss,0.05,+3,v2_time,4,4,0,115,232,1
imu_bias,imu_bias_mss,0.05,+3,v3_accel,4,4,0,116,232,1
imu_bias,imu_bias_mss,0.05,+3,v4_fusion,4,4,0,127,232,1
imu_bias,imu_bias_mss,0.05,+3,v1_apriltag,,4,,0,254,2
imu_bias,imu_bias_mss,0.05,+3,v2_time,4,4,0,117,254,2
imu_bias,imu_bias_mss,0.05,+3,v3_accel,4,4,0,127,254,2
imu_bias,imu_bias_mss,0.05,+3,v4_fusion,4,4,0,117,254,2
imu_bias,imu_bias_mss,0.1,+3,v1_apriltag,,4,,0,254,0
imu_bias,imu_bias_mss,0.1,+3,v2_time,4,4,0,126,254,0
imu_bias,imu_bias_mss,0.1,+3,v3_accel,4,4,0,127,254,0
imu_bias,imu_bias_mss,0.1,+3,v4_fusion,4,4,0,126,254,0
imu_bias,imu_bias_mss,0.1,+3,v1_apriltag,,4,,0,234,1
imu_bias,imu_bias_mss,0.1,+3,v2_time,4,4,0,117,234,1
imu_bias,imu_bias_mss,0.1,+3,v3_accel,4,4,0,128,234,1
imu_bias,imu_bias_mss,0.1,+3,v4_fusion,4,4,0,117,234,1
imu_bias,imu_bias_mss,0.1,+3,v1_apriltag,,4,,0,234,2
imu_bias,imu_bias_mss,0.1,+3,v2_time,4,4,0,128,234,2
imu_bias,imu_bias_mss,0.1,+3,v3_accel,4,4,0,127,234,2
imu_bias,imu_bias_mss,0.1,+3,v4_fusion,4,4,0,127,234,2
imu_bias,imu_bias_mss,0.15,+3,v1_apriltag,,4,,0,234,0
imu_bias,imu_bias_mss,0.15,+3,v2_time,4,4,0,127,234,0
imu_bias,imu_bias_mss,0.15,+3,v3_accel,4,4,0,117,234,0
imu_bias,imu_bias_mss,0.15,+3,v4_fusion,4,4,0,128,234,0
imu_bias,imu_bias_mss,0.15,+3,v1_apriltag,,4,,0,234,1
imu_bias,imu_bias_mss,0.15,+3,v2_time,4,4,0,117,234,1
imu_bias,imu_bias_mss,0.15,+3,v3_accel,4,4,0,117,234,1
imu_bias,imu_bias_mss,0.15,+3,v4_fusion,4,4,0,125,234,1
imu_bias,imu_bias_mss,0.15,+3,v1_apriltag,,4,,0,256,2
imu_bias,imu_bias_mss,0.15,+3,v2_time,4,4,0,126,256,2
imu_bias,imu_bias_mss,0.15,+3,v3_accel,4,4,0,127,256,2
imu_bias,imu_bias_mss,0.15,+3,v4_fusion,4,4,0,127,256,2
imu_bias,imu_bias_mss,0.2,+3,v1_apriltag,,4,,0,233,0
imu_bias,imu_bias_mss,0.2,+3,v2_time,4,4,0,127,233,0
imu_bias,imu_bias_mss,0.2,+3,v3_accel,4,4,0,116,233,0
imu_bias,imu_bias_mss,0.2,+3,v4_fusion,4,4,0,126,233,0
imu_bias,imu_bias_mss,0.2,+3,v1_apriltag,,4,,0,249,1
imu_bias,imu_bias_mss,0.2,+3,v2_time,4,4,0,115,249,1
imu_bias,imu_bias_mss,0.2,+3,v3_accel,4,4,0,127,249,1
imu_bias,imu_bias_mss,0.2,+3,v4_fusion,4,4,0,127,249,1
imu_bias,imu_bias_mss,0.2,+3,v1_apriltag,,4,,0,81,2
imu_bias,imu_bias_mss,0.2,+3,v2_time,4,4,0,44,81,2
imu_bias,imu_bias_mss,0.2,+3,v3_accel,4,4,0,45,81,2
imu_bias,imu_bias_mss,0.2,+3,v4_fusion,4,4,0,44,81,2
